City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Lagoa,PT,2022-02-12 15:15:18,39.05,-27.9833,59.94,85,100,20.24
224,Cidreira,BR,2022-02-12 15:11:15,-30.1811,-50.2056,78.98,69,0,15.32
225,Hirara,JP,2022-02-12 15:15:18,24.8,125.2833,69.96,85,100,14.92
226,Wajima,JP,2022-02-12 15:15:18,37.4,136.9,41.04,72,100,14.7
227,Vestmannaeyjar,IS,2022-02-12 15:15:19,63.4427,-20.2734,30.49,78,40,5.99
228,Cedar City,US,2022-02-12 15:12:13,37.6775,-113.0619,33.4,54,0,0.0
229,Zhigansk,RU,2022-02-12 15:16:19,66.7697,123.3711,-33.86,100,63,4.41
230,Ust-Omchug,RU,2022-02-12 15:16:19,61.15,149.6333,-34.24,99,81,1.74
231,Coswig,DE,2022-02-12 15:16:20,51.1333,13.5833,42.31,65,20,12.66
232,De Aar,ZA,2022-02-12 15:16:20,-30.6497,24.0123,90.82,19,35,8.39
233,Yar-Sale,RU,2022-02-12 15:16:20,66.8333,70.8333,-6.5,88,100,14.56
234,Ipixuna,BR,2022-02-12 15:16:21,-1.7625,-48.8043,87.75,70,89,4.97
235,Inhambane,MZ,2022-02-12 15:16:21,-23.865,35.3833,81.25,59,35,13.47
236,Dunedin,NZ,2022-02-12 15:16:21,-45.8742,170.5036,51.8,68,100,11.99
237,Portland,US,2022-02-12 15:16:22,45.5234,-122.6762,46.81,65,0,6.91
238,Kavaratti,IN,2022-02-12 15:15:05,10.5669,72.642,80.94,69,2,6.78
239,Acoyapa,NI,2022-02-12 15:16:22,11.9703,-85.1711,84.29,73,79,14.16
240,Hasaki,JP,2022-02-12 15:16:23,35.7333,140.8333,30.6,58,18,7.31
241,Severo-Kurilsk,RU,2022-02-12 15:16:23,50.6789,156.125,19.4,79,86,4.56
242,Kanniyakumari,IN,2022-02-12 15:16:23,8.0833,77.5667,79.11,79,87,10.56
243,Garden City,US,2022-02-12 15:16:23,42.3256,-83.331,24.03,61,75,19.57
244,Amga,RU,2022-02-12 15:16:24,60.8953,131.9608,-31.85,100,74,1.52
245,Kuusamo,FI,2022-02-12 15:16:24,65.9667,29.1833,6.84,85,0,5.75
246,Comodoro Rivadavia,AR,2022-02-12 15:15:47,-45.8667,-67.5,84.06,26,0,8.05
247,North Bend,US,2022-02-12 15:14:31,43.4065,-124.2243,46.85,94,0,0.0
248,Paoua,CF,2022-02-12 15:16:25,7.2427,16.4406,96.49,9,75,5.64
249,Liverpool,GB,2022-02-12 15:16:25,53.4106,-2.9779,49.51,84,75,23.02
250,Guaratinga,BR,2022-02-12 15:16:25,-16.5667,-39.5667,83.07,39,56,0.78
251,Cabra,ES,2022-02-12 15:16:26,37.4725,-4.4421,65.14,52,56,7.74
252,Provideniya,RU,2022-02-12 15:16:26,64.3833,-173.3,-12.15,83,2,6.17
253,Galle,LK,2022-02-12 15:16:26,6.0367,80.217,78.55,83,94,3.04
254,Mahebourg,MU,2022-02-12 15:16:27,-20.4081,57.7,80.89,74,20,3.44
255,Leshukonskoye,RU,2022-02-12 15:16:27,64.8989,45.7622,20.07,94,100,6.58
256,Naze,JP,2022-02-12 15:16:15,28.3667,129.4833,62.06,89,100,14.43
257,Saldanha,ZA,2022-02-12 15:14:46,-33.0117,17.9442,66.79,89,100,12.71
258,Sibut,CF,2022-02-12 15:16:28,5.718,19.0739,100.99,11,7,5.39
259,Ouango,CF,2022-02-12 15:16:28,4.3133,22.5552,101.55,13,46,3.4
260,Kiunga,PG,2022-02-12 15:16:28,-6.1219,141.2906,75.49,83,100,1.92
261,Aktau,KZ,2022-02-12 15:16:28,43.65,51.2,43.38,83,15,9.06
262,Oppdal,NO,2022-02-12 15:16:29,62.5943,9.6912,26.01,84,100,11.54
263,Ostrovnoy,RU,2022-02-12 15:16:29,68.0531,39.5131,16.23,94,88,11.32
264,Nador,MA,2022-02-12 15:16:29,35.174,-2.9287,62.67,63,20,5.75
265,Ketchikan,US,2022-02-12 15:16:30,55.3422,-131.6461,40.98,93,100,8.05
266,Uvat,RU,2022-02-12 15:16:30,59.1433,68.8953,4.93,88,100,9.66
267,Lowestoft,GB,2022-02-12 15:16:31,52.4752,1.7516,48.94,80,100,24.99
268,Basmat,IN,2022-02-12 15:16:31,19.3167,77.1667,73.49,23,28,5.75
269,Harsin,IR,2022-02-12 15:16:31,34.2721,47.5861,40.01,95,82,5.32
270,Cayenne,GF,2022-02-12 15:16:32,4.9333,-52.3333,77.04,90,75,16.11
271,Coihaique,CL,2022-02-12 15:14:02,-45.5752,-72.0662,68.61,52,0,5.75
272,Bundaberg,AU,2022-02-12 15:16:32,-24.85,152.35,70.21,86,75,6.91
273,Catamarca,AR,2022-02-12 15:16:32,-28.4696,-65.7852,67.77,84,100,1.99
274,Boromo,BF,2022-02-12 15:16:33,11.75,-2.9333,97.3,5,29,4.12
275,Dingle,PH,2022-02-12 15:14:55,10.9995,122.6711,75.16,91,95,8.86
276,Tromso,NO,2022-02-12 15:17:34,69.6496,18.957,23.02,74,40,11.5
277,Gebre Guracha,ET,2022-02-12 15:17:35,9.8,38.4,72.3,21,48,4.88
278,Ixtapa,MX,2022-02-12 15:17:36,20.7,-105.2,69.22,72,0,4.61
279,Guarapari,BR,2022-02-12 15:17:37,-20.6667,-40.4975,82.29,93,100,4.97
280,Tura,IN,2022-02-12 15:17:38,25.5198,90.2201,56.12,72,0,3.89
281,Concordia,AR,2022-02-12 15:15:36,-31.393,-58.0209,66.27,82,100,11.5
282,Inongo,CD,2022-02-12 15:17:39,-1.95,18.2667,85.05,57,94,3.2
283,Road Town,VG,2022-02-12 15:17:40,18.4167,-64.6167,80.69,78,20,11.5
284,Sambava,MG,2022-02-12 15:17:40,-14.2667,50.1667,78.37,83,24,8.66
285,Anastacio,BR,2022-02-12 15:17:40,-20.4836,-55.8069,94.51,40,11,5.35
286,Merauke,ID,2022-02-12 15:17:41,-8.4667,140.3333,79.23,80,12,10.94
287,Alamosa,US,2022-02-12 15:17:41,37.4695,-105.87,19.35,85,0,5.75
288,Malanville,BJ,2022-02-12 15:17:41,11.8685,3.3899,96.48,6,15,7.16
289,Port-Gentil,GA,2022-02-12 15:17:41,-0.7193,8.7815,80.92,81,59,12.19
290,Dwarka,IN,2022-02-12 15:17:42,22.2394,68.9678,72.09,46,3,9.4
291,Isla Mujeres,MX,2022-02-12 15:17:22,21.2311,-86.731,80.65,82,36,11.77
292,Zhengjiatun,CN,2022-02-12 15:17:42,43.5064,123.5064,6.44,90,16,7.27
